N, U, mfp, mct, P0, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18, P19
0,0,0,0,0
0,0,NaN,NaN,0
50000,0,8.448199,4.526758,0
50000,19994.12,4.292675,2.224882,0
50000,19994.03,3.969215,2.060448,0
50000,19993.98,3.825163,1.988351,0
50000,19994,3.791789,1.972837,0
50000,19994,3.776667,1.968013,0
50000,19993.97,3.728214,1.948447,0
50000,19994.04,3.689896,1.936282,0
50000,19994.03,3.637342,1.90993,0
50000,19994.05,3.596746,1.893089,0
50000,19994.12,3.572468,1.882922,0
50000,19994.07,3.534728,1.860431,0
50000,19994.08,3.489056,1.838297,0
50000,19994.08,3.448293,1.818576,0
50000,19994.11,3.406962,1.800138,0
50000,19994.04,3.351805,1.772633,0
50000,19994.09,3.311903,1.754844,0
50000,19994.06,3.274937,1.732706,0
50000,19994.04,3.226482,1.709542,0
50000,19994.01,3.173852,1.683649,0
50000,19994.04,3.136798,1.663745,0
50000,19994.06,3.079498,1.635032,0
50000,19994.07,3.016827,1.601721,0
50000,19994.17,2.974017,1.578413,0
50000,19994.13,2.920582,1.550955,0
50000,19994.17,2.884251,1.532767,0
50000,19994.12,2.847076,1.514743,0
50000,19994.16,2.789405,1.487846,0
50000,19994.21,2.754449,1.47049,0
50000,19994.18,2.71459,1.447805,0
50000,19994.14,2.671373,1.425137,0
50000,19994.14,2.635829,1.405193,0
50000,19994.08,2.584132,1.382085,0
50000,19994.07,2.557336,1.364752,0
50000,19994.12,2.505385,1.338457,0
50000,19994.13,2.481489,1.324352,0
50000,19994.08,2.453902,1.310184,0
50000,19994.12,2.421642,1.294311,0
50000,19994.11,2.399332,1.281032,0
50000,19994.14,2.357502,1.259061,0
50000,19994.13,2.314218,1.236516,0
50000,19994.12,2.29215,1.223722,0
50000,19994.13,2.265742,1.208541,0.8497775
50000,19994.12,2.228696,1.189211,0
50000,19994.08,2.187338,1.16877,0
50000,19994.12,2.156816,1.152032,0
50000,19994.14,2.131382,1.13766,0
50000,19994.14,2.105709,1.122101,0
50000,19994.13,2.083724,1.109437,0
50000,19994.05,2.049813,1.089832,0.3378798
50000,19994.09,2.026846,1.078906,0
50000,19994.11,1.996813,1.062363,0
50000,19994.14,1.972222,1.048779,0.3225046
50000,19994.14,1.956013,1.037928,1.171674
50000,19994.14,1.933349,1.025459,0
50000,19994.14,1.914571,1.015247,0
50000,19994.15,1.889868,1.003115,0
50000,19994.15,1.86599,0.9905099,0
50000,19994.14,1.845204,0.9783956,0
50000,19994.17,1.825554,0.967613,0.2798558
50000,19994.17,1.809564,0.9595114,0.6195877
50000,19994.17,1.788203,0.9481398,1.288305
50000,19994.19,1.767598,0.9365258,0.3836902
50000,19994.14,1.756541,0.9293807,0
50000,19994.13,1.733981,0.917989,0.3726101
50000,19994.13,1.717588,0.9087467,0.6549742
50000,19994.13,1.694693,0.8964304,0.2645968
50000,19994.12,1.68936,0.8919447,0
50000,19994.05,1.672471,0.882258,1.25462
50000,19994.01,1.660988,0.8757238,0.3593373
50000,19993.98,1.659353,0.8725383,0
50000,19993.98,1.645645,0.8643599,0.7853704
50000,19993.98,1.630064,0.8565109,0
50000,19994.02,1.611428,0.8474966,0.985913
50000,19994.04,1.604838,0.842394,0
50000,19994.04,1.598799,0.8371208,0.5710697
50000,19994.04,1.581463,0.8279405,0
50000,19994.06,1.570521,0.8227279,0.6682429
50000,19994.06,1.564696,0.8195049,1.638715
50000,19994.04,1.554511,0.8144494,0.7709802
50000,19994.04,1.544751,0.8096598,0.9600937
50000,19994.02,1.529416,0.8022102,1.52727
50000,19994.05,1.520442,0.7943904,0
50000,19994.06,1.516878,0.7925128,0
50000,19994.03,1.513297,0.789439,0.925423
50000,19994.04,1.501913,0.7823927,1.218596
50000,19994.04,1.489578,0.7745706,0.325981
50000,19994.04,1.485824,0.7717663,0.4900956
50000,19994.02,1.472032,0.7629983,0.4861265
50000,19994.02,1.467564,0.7591941,1.339456
50000,19994.02,1.461102,0.7551289,1.825081
50000,19993.98,1.45335,0.7497087,1.099339
50000,19993.98,1.444688,0.7445866,1.050081
50000,19994,1.444491,0.7423215,1.789395
50000,19994.01,1.43988,0.7389289,0.8225629
50000,19994,1.43555,0.7368122,0.2722147
50000,19994,1.424795,0.730436,0.5896279
50000,19994.01,1.422684,0.7284049,1.051219
50000,19994.03,1.420209,0.7274931,1.389627
50000,19994.03,1.418342,0.7263099,0
50000,19994.07,1.416819,0.7246463,0.2530162
50000,19994.07,1.410319,0.7202858,0.6787468
50000,19994.08,1.405835,0.7175704,1.116614
50000,19994.09,1.398241,0.7138564,0.6183996
50000,19994.07,1.394027,0.7099683,0.769576
50000,19994.09,1.394138,0.7090422,0.5136022
50000,19994.1,1.39167,0.7064706,1.505319
50000,19994.1,1.387973,0.7047793,1.592854
50000,19994.11,1.386497,0.7036335,0.4066932
50000,19994.13,1.390082,0.7040244,0.8389352
50000,19994.13,1.393019,0.704473,0.9436653
50000,19994.16,1.391991,0.7034863,2.735331
50000,19994.16,1.391939,0.7026812,1.621177
50000,19994.19,1.393696,0.7027214,1.103623
50000,19994.2,1.395027,0.7017364,1.938852
50000,19994.15,1.389173,0.6982597,0.3542483
50000,19994.13,1.391897,0.698514,1.651274
50000,19994.13,1.391667,0.6983518,2.661048
50000,19994.1,1.390896,0.6980978,3.879586
50000,19994.09,1.387968,0.6967312,3.732716
50000,19994.11,1.387539,0.6957849,1.91115
50000,19994.09,1.39183,0.6972843,1.326765
50000,19994.09,1.394986,0.6987053,2.296412
50000,19994.09,1.395439,0.6981921,2.249991
50000,19994.07,1.39595,0.6981946,1.893866
50000,19994.08,1.397186,0.6978195,2.048839
50000,19994.08,1.394814,0.6961052,3.283567
50000,19994.09,1.389736,0.6944924,2.208181
50000,19994.09,1.390714,0.6946954,5.72729
50000,19994.09,1.38711,0.6925752,2.071789
50000,19994.09,1.389238,0.6942288,3.87875
50000,19994.12,1.386196,0.6924133,4.242564
50000,19994.12,1.387416,0.6926264,3.898584
50000,19994.13,1.385981,0.6916893,2.238886
50000,19994.15,1.382239,0.6909341,3.85614
50000,19994.14,1.382439,0.6906515,3.357343
50000,19994.11,1.377996,0.6882727,6.917087
50000,19994.12,1.378055,0.6887937,7.712132
50000,19994.12,1.375932,0.6873364,7.169208
50000,19994.14,1.375867,0.6870874,4.192102
50000,19994.14,1.373935,0.6859524,2.625958
50000,19994.16,1.375736,0.6856738,6.357591
50000,19994.18,1.38231,0.6872572,5.954083
50000,19994.17,1.378226,0.6853236,3.927935
